	H1-1L	H1-1S	H1-1SP	H1-3	H1-3P	H1-6	H1-6P	H2-3	H2-3P	H2-5	H2-5P	H2-8	K1-3	K1-3P	K2-2	N1-2
M02144:85:000000000-B48VY:1:1101:10000:7971;size=1;	0	0	0	13	3	6	0	28	21	1	0	32	0	1	0	0
M02144:85:000000000-B48VY:1:1101:10008:20118;size=1;	0	0	0	4	19	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:10142:20675;size=1;	0	0	0	0	0	0	0	0	0	33	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:1101:10366:1351;size=2;	0	0	0	0	0	0	0	47	35	0	0	0	25	0	0	0
M02144:85:000000000-B48VY:1:1101:10898:10852;size=1;	0	5	0	0	0	0	0	19	2	0	0	70	0	0	0	0
M02144:85:000000000-B48VY:1:1101:11125:20209;size=1;	0	0	1	5	2	225	224	1	2	0	0	56	0	0	0	1
M02144:85:000000000-B48VY:1:1101:11445:14811;size=1;	0	0	0	0	1	0	0	583	487	1	1	1	290	8	0	0
M02144:85:000000000-B48VY:1:1101:11713:10291;size=1;	0	0	0	0	1	0	0	36	29	0	0	0	24	0	0	0
M02144:85:000000000-B48VY:1:1101:11747:22086;size=1;	6	3	29	3	8	2087	1248	0	5	15	5	70	1	1	573	1
M02144:85:000000000-B48VY:1:1101:12054:1605;size=2;	0	0	1	0	0	0	1	162	137	0	1	1	158	7	0	0
M02144:85:000000000-B48VY:1:1101:12401:11672;size=1;	0	0	0	0	0	0	0	23	18	0	0	0	3	1	0	0
M02144:85:000000000-B48VY:1:1101:12572:14043;size=1;	6	34	4	0	0	0	0	0	0	0	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:1101:12700:10602;size=1;	0	0	0	9	4	0	0	0	0	2	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:12778:22704;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0
M02144:85:000000000-B48VY:1:1101:13232:20086;size=1;	0	0	0	1	0	0	0	3	8	0	2	1	21	250	0	0
M02144:85:000000000-B48VY:1:1101:13298:23059;size=1;	0	0	12	1	1	0	0	501	414	0	1	3	503	92	2	0
M02144:85:000000000-B48VY:1:1101:13739:3491;size=1;	0	0	0	32	50	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:14220:22390;size=2;	0	0	0	0	0	106	19	0	0	0	0	5	0	0	0	0
M02144:85:000000000-B48VY:1:1101:15216:15989;size=1;	0	0	0	0	0	0	0	58	24	0	0	1	57	1	1	0
M02144:85:000000000-B48VY:1:1101:15520:22461;size=1;	0	0	0	1	3	9	3	9	0	39	305	2596	0	0	0	0
M02144:85:000000000-B48VY:1:1101:15526:10882;size=1;	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0
M02144:85:000000000-B48VY:1:1101:15845:9618;size=1;	0	0	0	0	0	0	0	0	0	52	10	31	0	0	0	0
M02144:85:000000000-B48VY:1:1101:15972:11478;size=1;	0	0	0	0	0	0	0	67	37	0	0	0	89	0	0	0
M02144:85:000000000-B48VY:1:1101:16823:4615;size=1;	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:16837:2619;size=1;	0	0	0	0	0	13	3	1	3	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:16877:20148;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M02144:85:000000000-B48VY:1:1101:17271:18872;size=1;	0	0	0	1	0	0	0	0	0	86	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:17354:13527;size=1;	0	0	0	0	0	0	0	81	7	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:17406:14529;size=1;	0	0	0	2	2	56	1	86	149	0	0	560	5	27	1	0
M02144:85:000000000-B48VY:1:1101:17430:7612;size=1;	0	0	0	0	1	0	0	0	0	7	8	1	0	0	0	0
M02144:85:000000000-B48VY:1:1101:17513:24117;size=1;	16494	17837	17882	20	6	17	5	11	2	0	0	18	5	1	6	2
M02144:85:000000000-B48VY:1:1101:17549:11779;size=1;	0	0	0	1	1	0	0	55	49	0	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:1101:17639:6281;size=1;	0	0	0	0	0	0	0	0	0	0	0	2	12	193	0	0
M02144:85:000000000-B48VY:1:1101:17868:5147;size=1;	2	1	1	5291	2973	1	1	2	1	72	9	3	1	1	2	1
M02144:85:000000000-B48VY:1:1101:17940:5134;size=1;	0	0	0	56	12	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1101:18105:11283;size=1;	0	0	0	3	1	0	0	8	5	0	0	0	48	21	0	0
M02144:85:000000000-B48VY:1:1101:18127:18833;size=1;	0	0	0	4	12	0	0	0	0	1	0	0	0	2	0	0
